participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,intentions_pre,intentions_post,intentions_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,self_perceived_behavior_change,self_perceived_behavior_pre,self_perceived_behavior_post,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,choices,condition,combined_condition,strategy,type
9EF565050DBA4F1ABA30F52A115807D6,44,2,5,3,68.5,81,12.5,4.4,5,0.6,4.5,4.25,-0.25,78.57142857,80.57142857,2,-1,3,2,5.166666667,5.166666667,0,1,1,0,1,5,chat_nonpersonal,chat_nonpersonal_future,future,real_human
3413EED697A246E896AD0A399CDC3923,49,2,5,3,11.75,13.25,1.5,5,5.4,0.4,5,5,0,54.28571429,55.14285714,0.8571428571,0,3,3,2,2,0,0,0,0,0,5,chat_nonpersonal,chat_nonpersonal_action,action,real_human
A2CD1E8D49EF4E019AE0643B5A95ADA8,34,1,5,2,98.25,98,-0.25,4.8,5,0.2,4.25,4,-0.25,99,98.71428571,-0.2857142857,0,3,3,6,5.833333333,-0.1666666667,,,,,0.5,chat_personalized,chat_personalized_control,control,real_human
A8A0DB2EA12140F5BF5D74D72AC34363,28,1,5,2,35,62,27,4.2,4.8,0.6,4.25,4.25,0,73.71428571,80.42857143,6.714285714,0,3,3,4.333333333,5.166666667,0.8333333333,,,,,3,chat_nonpersonal,chat_nonpersonal_future,future,real_human
718C02EEBD6F495698710BC7337CF346,37,1,5,3,17.75,55.5,37.75,3.8,4,0.2,3.25,2.25,-1,47.14285714,38.28571429,-8.857142857,0,3,3,2,1.833333333,-0.1666666667,0,0,0,,3,text_statement,text_statement_action,action,real_human
389ABA6EFFEB404F8CF8B62D296418C5,33,2,4,1,100,100,0,4,4.8,0.8,3.75,3.75,0,57.57142857,60.42857143,2.857142857,0,3,3,6,7,1,1,1,0,1,4,chat_nonpersonal,chat_nonpersonal_future,future,real_human
281A5E08D6CB46F38B0B08D7C7FEA812,20,2,3,2,97.5,96.5,-1,4.8,4.8,0,3.75,3.5,-0.25,75.85714286,75,-0.8571428571,0,1,1,5.666666667,5.666666667,0,0,0,0,,1.5,chat_personalized,chat_personalized_action,action,real_human
08482FAB26104B12BD692357437C9C72,29,1,5,3,100,100,0,4.8,4.4,-0.4,4.25,4.5,0.25,89.85714286,86.42857143,-3.428571429,0,5,5,5.166666667,5.5,0.3333333333,1,1,0,0,6,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
3CEEF0D5A479437E9845839103076CA5,26,1,5,3,77.5,81,3.5,5.6,5.2,-0.4,3.25,3.5,0.25,72.14285714,75.85714286,3.714285714,0,2,2,4.5,5.5,1,1,1,0,0,1.333333333,chat_nonpersonal,chat_nonpersonal_future,future,real_human
CC20D7176DE9481CA20F81231F791D91,46,1,3,3,50.75,52,1.25,4.6,4.6,0,3.75,3.75,0,57.42857143,59.28571429,1.857142857,0,3,3,4.166666667,4.333333333,0.1666666667,0,0,0,,3,chat_nonpersonal,chat_nonpersonal_future,future,real_human
F8CEF3E9F37A44C284584E0F27373B53,42,1,3,2,82.5,78.75,-3.75,4.2,4.2,0,4.25,4.25,0,66.57142857,65.14285714,-1.428571429,0,3,3,6,6,0,0,0,0,,3,text_statement,text_statement_future,future,real_human
E10C6740007C4383A85FB81F3A7D5F03,37,1,5,3,45.25,47.5,2.25,4.2,3.6,-0.6,1.5,1,-0.5,59.71428571,62,2.285714286,0,5,5,1.833333333,1.833333333,0,0,0,0,,5,chat_nonpersonal,chat_nonpersonal_future,future,real_human
11D3EA72E2074918B31F418D69D87CC8,46,1,5,3,93.5,93,-0.5,4.4,4.4,0,4.25,1.5,-2.75,89.14285714,87.14285714,-2,0,5,5,4.333333333,4.166666667,-0.1666666667,0,0,0,,0,text_statement,text_statement_action,action,real_human
0FD2FE3A81B944F998CFBA7227EED4F1,49,1,1,3,83.75,76.25,-7.5,4.4,4.2,-0.2,2.5,2,-0.5,68.42857143,67.85714286,-0.5714285714,0,2,2,2.333333333,2.333333333,0,0,0,0,0,0.2,chat_personalized,chat_personalized_future,future,real_human
1C7F17EBE0F34FB1B7B1ECA49948BB42,39,2,5,2,11.25,2.5,-8.75,2.4,2.4,0,3.75,4.25,0.5,21.42857143,28.57142857,7.142857143,0,2,2,4.833333333,5.5,0.6666666667,0,0,0,,4,text_statement,text_statement_moral,moral,real_human
E066D0CD9E014965986896CB38DCE8D9,65,2,5,3,90.25,92.25,2,4.4,4.4,0,2.25,2.25,0,87.85714286,92.42857143,4.571428571,0,1,1,6,6,0,,,,,1,chat_personalized,chat_personalized_action,action,real_human
083B1963D5A84D4AA0E7F465284049C5,43,2,4,1,88.5,100,11.5,4.4,4.2,-0.2,5,5,0,90.14285714,100,9.857142857,0,1,1,5.5,5.5,0,,,,,6,text_statement,text_statement_control,control,real_human
9AE653AC9D644EDDB5A7D9E511F3BDC5,31,1,5,2,100,100,0,4.6,4.6,0,4.25,4.25,0,100,100,0,0,2,2,6.5,6.5,0,1,0,-1,,3,chat_personalized,chat_personalized_future,future,real_human
79AB5C6AA78945FA8497BF8D93C391CC,33,2,5,2,0,0,0,1,1,0,3,2.75,-0.25,96.42857143,100,3.571428571,0,3,3,3.833333333,3.5,-0.3333333333,0,0,0,,1,chat_personalized,chat_personalized_control,control,real_human
D164A35B8B3244A7B5F301102CAEF92E,26,1,4,2,87.5,92.5,5,4.2,4.4,0.2,2,2,0,71.42857143,67.14285714,-4.285714286,0,1,1,4.333333333,4.666666667,0.3333333333,0,0,0,,1,chat_nonpersonal,chat_nonpersonal_action,action,real_human
94DBC42DB76445BC999AF53864B99687,42,1,5,1,15,17.75,2.75,3.2,3.6,0.4,4.5,4.5,0,36.28571429,48.14285714,11.85714286,0,3,3,5.5,5.166666667,-0.3333333333,0,1,1,0,1,text_statement,text_statement_future,future,real_human
6E8B6142B0A54E62A6033B6989D92DCC,51,1,4,2,28.75,26,-2.75,4.2,4.4,0.2,2.75,2.75,0,39.85714286,38.28571429,-1.571428571,0,5,5,3,3,0,0,0,0,1,2,chat_personalized,chat_personalized_control,control,real_human
E94BD85AD7634F6AB5C3A9C7B0712F2E,55,2,3,1,96.25,99,2.75,4.4,4.4,0,4.25,4.75,0.5,72.57142857,90.71428571,18.14285714,0,3,3,5.5,5.833333333,0.3333333333,1,1,0,1,6,chat_nonpersonal,chat_nonpersonal_action,action,real_human
8ABA35BE4FF24A6DAE895F3CDFE22BDA,68,2,6,2,100,100,0,4.6,4.6,0,4.75,4.25,-0.5,100,100,0,-1,4,3,6.666666667,6.5,-0.1666666667,1,1,0,0,4,text_statement,text_statement_future,future,real_human
C2BC227785584B28A2C0402968CAA8D5,56,2,7,2,100,100,0,4.6,4.6,0,4.5,4.75,0.25,100,100,0,0,2,2,6.333333333,6.333333333,0,0,0,0,,1,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
3F8CFC8326EF4652859C3D4E9AE15D33,26,1,5,3,81.75,84.5,2.75,5,6.2,1.2,4,3.75,-0.25,76.57142857,78.57142857,2,1,2,3,5.833333333,5.5,-0.3333333333,1,1,0,1,3,chat_nonpersonal,chat_nonpersonal_control,control,real_human
951E8639D9ED45199FD367164FA2D30F,36,1,2,2,100,100,0,5.6,5.6,0,5,4.75,-0.25,95.85714286,100,4.142857143,0,2,2,6.666666667,6.666666667,0,0,0,0,0,4,chat_personalized,chat_personalized_moral,moral,real_human
AE71745918C346628974F087E835D2CC,28,1,2,3,100,100,0,4.8,4.8,0,5,5,0,70,71,1,0,5,5,4.833333333,5.5,0.6666666667,0,0,0,0,0.8,chat_personalized,chat_personalized_moral,moral,real_human
D37EDAF445DA462CB95C5477768E67F9,57,2,2,3,96.25,96.25,0,5.2,4.8,-0.4,4.5,4.5,0,85,92.14285714,7.142857143,0,3,3,5.166666667,5,-0.1666666667,1,1,0,0,5,chat_nonpersonal,chat_nonpersonal_moral,moral,real_human
E868C4AA0A044DBAACD5B76544D12EB7,47,2,5,2,24.5,22,-2.5,2.6,2,-0.6,4,4,0,33.14285714,36.85714286,3.714285714,1,3,4,5.5,6,0.5,1,1,0,0,2.5,chat_nonpersonal,chat_nonpersonal_action,action,real_human
B2BE3CC91CF44DBE8A61406D34E9CDC8,30,1,6,3,99.75,100,0.25,4.2,4.6,0.4,4.25,4.25,0,91.28571429,89,-2.285714286,0,3,3,7,6,-1,1,1,0,0,5,chat_personalized,chat_personalized_moral,moral,real_human
B98C5880B2F24E41839CAABAD7DDA18E,45,1,5,3,99.25,98,-1.25,6,6.2,0.2,3.75,4.75,1,96.57142857,97.85714286,1.285714286,0,3,3,6.166666667,6.166666667,0,1,1,0,0,1,chat_personalized,chat_personalized_future,future,real_human
1D64F7437F0A4628BF32A1D11F464DE9,24,2,2,2,100,100,0,4.6,4.6,0,3,3.25,0.25,88.57142857,90,1.428571429,0,3,3,5.166666667,5.666666667,0.5,1,1,0,0,4,chat_nonpersonal,chat_nonpersonal_future,future,real_human
D7BCC7E32DB745F6BD30AA733F208E3F,54,2,3,2,99.75,99.75,0,4.2,4.2,0,3.75,3.75,0,69.71428571,70.42857143,0.7142857143,0,3,3,5.833333333,6,0.1666666667,0,0,0,,2,chat_personalized,chat_personalized_future,future,real_human
A7258C911B5E406BB380922651CB7F59,50,2,3,2,98.75,98.75,0,3.6,3.4,-0.2,4,4,0,97.14285714,98.57142857,1.428571429,0,3,3,5.5,5.666666667,0.1666666667,1,1,0,1,6,text_statement,text_statement_control,control,real_human
A1E132B3FDF446ADB6B3101E45B34A8E,67,2,4,3,73.5,97,23.5,4.4,5.8,1.4,3.25,3.5,0.25,70.14285714,70.85714286,0.7142857143,0,2,2,5.5,6,0.5,1,1,0,1,6,chat_personalized,chat_personalized_control,control,real_human
D92F5DFDB6194D919231B4EFCF34BAF0,64,2,4,2,100,100,0,4.6,4.6,0,3.5,3.5,0,88.14285714,100,11.85714286,0,2,2,5.666666667,6,0.3333333333,1,1,0,0,0.3333333333,chat_nonpersonal,chat_nonpersonal_action,action,real_human
74901D2ADE564603BE59D28A55952B5C,29,2,4,2,18.75,20,1.25,4,3.4,-0.6,1,1,0,20,20,0,0,1,1,1,1,0,0,0,0,,0.3333333333,chat_personalized,chat_personalized_action,action,real_human
EA7005BC49214A0EA29DB1CFB937AF13,36,1,2,2,100,100,0,4,4,0,3,3.25,0.25,71.42857143,71.42857143,0,0,2,2,4.166666667,4.166666667,0,0,0,0,,2,chat_personalized,chat_personalized_control,control,real_human
528F5C69B46B4C3BB9AC3E51E4F5AC2C,45,2,4,3,100,100,0,4.8,4.4,-0.4,3.75,3.75,0,94,100,6,0,2,2,5.833333333,5.833333333,0,0,0,0,,1.5,text_statement,text_statement_control,control,real_human
8FFD8A377311493BB0085175099606BB,38,2,5,3,100,100,0,7,7,0,4.25,5,0.75,100,100,0,0,1,1,6.333333333,6.833333333,0.5,1,1,0,1,3,chat_personalized,chat_personalized_action,action,real_human
