participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,perceived_anthropomorphism_post,perceived_animacy_post,perceived_likeability_post,perceived_intelligence_post,perceived_safety_post,empathy_with_the_animal_post,climate_change_impact_on_animal_post,intentions_pre,intentions_post,intentions_change,self_perceived_behavior_pre,self_perceived_behavior_post,self_perceived_behavior_change,choices,condition,animal
4D8D23549F174F5A9DBC9E67CB1B1056,67,2,3,3,37.25,37.5,0.25,4.8,4.6,-0.2,32.42857143,36.28571429,3.857142857,2,1.666666667,-0.3333333333,0,0,0,,2,4,5,4,3,4,4,2,2,0,2,2,0,1,Static Character Narrative,beluga
2284CFD9254A4037B906C5838D380E51,21,2,3,2,100,100,0,4.6,4.6,0,88.57142857,92.28571429,3.714285714,5,6.5,1.5,0,0,0,0,3,4.5,5,5,5,5,5,4,4,0,3,3,0,4,Static Character Narrative,beluga
6179B88DC77A459AA82972EE3C70759E,27,2,5,1,55.75,62,6.25,3.6,3.6,0,65.28571429,56.71428571,-8.571428571,4.333333333,4,-0.3333333333,0,0,0,0,3,3,5,5,5,5,5,3.5,3,-0.5,5,5,0,5,Static Character Narrative,beluga
F8A5C764242642B6A5BD8B28D96276B1,29,2,5,2,86,88.75,2.75,4.4,3.6,-0.8,63.57142857,63.42857143,-0.1428571429,4,3.333333333,-0.6666666667,0,0,0,,3,3.5,4,4.5,3,4,5,2,2.5,0.5,4,4,0,0.6666666667,Static Character Narrative,beluga
E9E2ACF2E14745068BA0DC46691750D4,34,1,2,2,89,92.75,3.75,4,4,0,77.57142857,78.71428571,1.142857143,3,3.166666667,0.1666666667,0,0,0,,2,4,4,4,4,3,5,3,3,0,4,4,0,1,Static Character Narrative,beluga
EC520BDF95B642A89CADC46C0DB6DB48,34,1,6,2,10.75,8.75,-2,3.4,3.4,0,22.71428571,26,3.285714286,3.5,3.833333333,0.3333333333,0,0,0,,4,3,4,4,4,4,3,2.5,2.5,0,4,4,0,0.5,Static Character Narrative,beluga
6DDA82FBF8DC4CD5A7E242A9BD2E549E,33,2,2,2,92,98.75,6.75,4.2,4.4,0.2,75.14285714,76.28571429,1.142857143,6,6.833333333,0.8333333333,1,1,0,1,5,4.5,5,4,4,5,5,5,5,0,2,2,0,5,Static Character Narrative,beluga
7ECF7E92126E4DA9B18FAFA3F2BE6F13,49,1,3,1,0,0,0,3.4,3.4,0,57.14285714,50,-7.142857143,2.166666667,2.166666667,0,1,1,0,0,3,3,3,3,3,3,1,2,2,0,1,1,0,0.4,Static Character Narrative,beluga
B79D445EB93F49078DD9D1AD49582BD2,36,2,2,2,96.25,96.25,0,4.6,4.6,0,92.85714286,88.57142857,-4.285714286,5.666666667,5.833333333,0.1666666667,1,1,0,1,3,4,5,5,3,5,5,5,5,0,2,2,0,6,Static Character Narrative,beluga
127AAD09555F4EC49751474266B52182,28,1,5,1,62.75,58.75,-4,5.8,5.8,0,46.85714286,45.85714286,-1,6,6,0,1,1,0,1,3,4,4,4,4,5,5,4,4,0,2,2,0,6,Static Character Narrative,beluga
A61B7C9E7F584A79A9E74E15560D2ED6,30,1,6,3,85.25,91.5,6.25,6.6,7,0.4,90.71428571,94.14285714,3.428571429,6.5,7,0.5,1,1,0,1,5,4.5,5,5,5,4,5,4.5,4.5,0,5,5,0,1,Static Character Narrative,beluga
7718C1E05E4648C7840BBCEC85698BE1,29,2,5,2,95,100,5,4.6,5.2,0.6,71.57142857,71,-0.5714285714,7,7,0,1,1,0,1,5,5,5,5,3,5,5,5,5,0,3,3,0,3,Static Character Narrative,beluga
704A166028BA4C3EAAB0715FE2D230FD,35,2,5,2,96.25,95,-1.25,4.6,4.4,-0.2,92.14285714,91.42857143,-0.7142857143,3.5,3.5,0,0,0,0,,2,2,2,2,3,1,3,1,1,0,4,4,0,0,Static Character Narrative,beluga
970B70780AD042BEA87B69BA8EDB352E,34,1,5,2,78.75,85,6.25,5.2,5.2,0,67.57142857,68.57142857,1,5.833333333,5.666666667,-0.1666666667,,,,0,2,2.5,5,5,3,5,5,3,4,1,3,3,0,3,Static Character Narrative,beluga
